	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-6859: all-trans-farnesol biosynthesis	27.2293	15.7576	32.9813	12.7949	15.9815	10.8391	38.852	33.9836	47.7485	41.6032	16.7604	26.9868	45.9524	2.59305	15.8527	13.1867	22.8252	3.49142	13.728	12.9576	71.9784	83.5996
PWY-6863: pyruvate fermentation to hexanol (engineered)	0	0	0	0	0	0	0	0	0	0	6.70203	0	0	0	0	0	0	0	0	0	0	0
PWY-6876: isopropanol biosynthesis (engineered)	9.08383	1.87141	0.28639	2.0591	0	3.84161	0.643531	0	4.27964	2.00916	0	2.10764	0.638485	3.21151	5.37485	15.7534	2.26497	2.35728	4.64595	4.2582	0	0.390117
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	218.44	178.562	283.614	158.275	352.979	198.074	264.361	201.28	138.697	311.827	134.177	291.05	270.619	208.906	309.643	274.489	279.154	160.732	248.716	193.155	236.254	279.982
PWY-6895: superpathway of thiamine diphosphate biosynthesis II	0	39.3396	392.689	5.13677	65.1617	69.7387	306.233	8.68923	46.7846	86.9667	0	22.4444	220.509	15.9867	42.036	84.1556	32.2843	3.74962	104.399	21.9482	84.6049	100.199
PWY-6897: thiamine diphosphate salvage II	192.878	200.763	364.394	142.968	341.112	213.356	304.234	194.621	222.12	203.383	127.138	204.731	270.659	150.446	257.675	227.583	196.59	148.31	207.31	155.675	304.651	300.444
PWY-6901: superpathway of glucose and xylose degradation	269.35	245.219	290.393	177.282	94.1139	184.573	253.733	213.161	252.748	211.526	191.542	174.423	232.19	220.216	181.221	140.675	166.969	177.628	183.422	134.955	229.224	240.147
PWY-6902: chitin degradation II (Vibrio)	121.555	63.9675	128.238	43.2637	10.4362	84.2203	77.4577	71.3031	36.1741	54.6002	36.6021	37.153	80.4697	37.844	49.2001	27.0475	23.696	28.7737	100.025	23.3395	107.796	105.925
PWY-6906: chitin derivatives degradation	25.9354	67.3862	93.1686	52.6194	10.7184	22.8973	92.8563	59.0691	19.8927	37.5479	49.4294	46.3051	88.4064	68.1881	19.4389	40.9756	39.3382	46.8101	32.5867	30.1425	92.0071	58.6487
PWY-6920: 6-gingerol analog biosynthesis (engineered)	0	0	0	6.18877	0	0	0	0	0	0	0	0	0	0.912656	0	0	0	6.18224	0	0	6.13234	4.49999
PWY-6922: L-N&delta;-acetylornithine biosynthesis	2.00464	4.36898	5.60318	0	0	2.40814	5.58247	7.09588	1.79448	5.9634	2.01313	3.5768	38.8164	0.865772	6.62391	9.70938	4.19079	0.490937	3.14433	4.35279	6.22942	4.30909
PWY-6936: seleno-amino acid biosynthesis (plants)	179.93	209.746	305.274	160.13	215.526	127.867	301.277	159.418	279.646	150.855	84.3515	222.057	297.461	215.458	115.177	186.1	238.967	157.368	94.3751	128.994	253.152	240.181
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	5.26881	2.60239	0.259663	3.40138	0	8.10461	0.778018	1.66908	2.97659	2.67664	0	14.3752	0.35308	1.83094	1.99622	1.63743	6.33933	0.672704	3.88792	2.2753	0	0
PWY-6961: L-ascorbate degradation II (bacterial, aerobic)	0	1.20396	135.511	0	19.2591	0	105.874	1.31787	1.82036	7.7614	11.8783	1.77765	92.0554	5.95644	0.661183	19.0417	3.94632	0.570252	0	6.73407	0	0.35896
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	71.8022	67.5185	137.172	85.6881	43.2782	115.094	136.709	61.4883	104.223	65.7547	33.5421	85.6654	139.868	101.349	62.0842	56.3841	72.2177	115.176	69.9521	57.7799	47.4308	45.9194
PWY-6992: 1,5-anhydrofructose degradation	6.65099	1.87104	56.0228	0	2.18693	6.08857	36.674	3.28234	1.92551	6.83324	3.05356	1.12393	32.1077	57.0154	0.768614	3.66733	19.1973	67.8016	6.92421	2.64713	0	0
PWY-7000: kanamycin biosynthesis	0	0	0	0	0	0	0	0.592051	0	0	0	0	0	0	0	0	0	0	0.874496	0	0	0.677501
PWY-7003: glycerol degradation to butanol	0	0	0	0	0	0	0	0	0	0	9.82433	0	0	0	0	0	0	0	0	0	0	0
PWY-7013: (S)-propane-1,2-diol degradation	16.8166	28.416	201.651	17.9533	53.0782	20.3052	120.955	19.0553	15.1447	75.6779	86.8779	42.7895	138.953	32.1253	94.772	95.9417	37.5335	17.6398	26.8505	35.0586	25.1722	29.3271
PWY-702: L-methionine biosynthesis II	122.366	90.5692	258.542	60.5005	105.395	47.1041	219.645	47.0134	160.439	70.6016	61.2588	96.3492	166.249	52.7247	74.1591	104.887	107.236	45.5692	41.5698	70.095	48.4244	67.8769
PWY-7031: protein N-glycosylation (bacterial)	0	1.07314	0	2.24393	0	0.303886	0	3.13522	0	3.52473	12.4875	0	0	2.21375	0.506537	0.789875	0	0.404765	0	0	0	0.29355
PWY-7039: phosphatidate metabolism, as a signaling molecule	0	0	0.917827	0	0	0	0	0	0	0	0	0	0.314328	0	0	0	0	0	0	0	0	0
PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	0	0	0	4.20295	0	0	0.548661	0	0	0	0	0	0.147116	7.04725	0	0	0	1.09418	0	0	0	0
PWY-7094: fatty acid salvage	0	0.767347	23.8834	0	5.09496	0.788261	23.0787	1.80946	0	0.926449	0	1.90427	59.6759	0.981619	0	1.82254	2.12386	0.251413	0	0.403452	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	488.167	512.13	559.551	317.287	499.452	254.321	482.104	428.064	507.254	445.822	439.715	398.55	462.576	280.65	489.789	503.837	399.382	327.121	288.584	346.267	395.321	427.439
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	49.3177	86.6718	146.335	12.7803	101.575	15.4359	106.094	40.5777	59.7026	63.1286	52.1021	33.8625	108.4	23.5847	49.7015	34.0097	7.44502	7.06461	41.1888	16.8262	47.7264	64.6478
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	111.664	174.743	296.905	68.7898	53.5488	84.243	224.62	67.7444	130.105	70.7533	29.782	11.712	207.118	79.9608	22.2955	56.7971	24.5051	86.1309	83.2283	63.1638	57.4288	68.3843
PWY-7118: chitin deacetylation	0	2.08494	237.641	4.32831	19.2898	2.57863	145.992	4.65337	0	19.8237	0	4.181	101.533	4.5542	3.72156	37.6636	6.99219	1.31762	0	6.41111	0	0.287753
PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)	0	0	0	0	0	0	1.23058	2.35016	0	3.57352	0	0	0.356664	0	1.78369	4.32153	0.963355	0.640403	0	1.18586	0	0.239394
PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)	0	0	1.60243	0	0	0	0	2.80716	0	0	0	0.741546	4.66083	0	0	2.73232	0.322635	0	0	1.3289	0	0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	7.57885	11.9125	129.071	1.54356	35.4862	2.39043	138.151	11.2612	5.91406	9.01365	9.98149	9.46739	79.2965	7.01719	1.98942	31.6306	17.7513	8.37521	2.09724	70.1793	29.3331	31.2697
PWY-7185: UTP and CTP dephosphorylation I	5.27728	8.20357	11.3648	1.03188	0	1.08459	10.0535	7.74978	4.04422	0.920684	0	6.36378	26.1088	4.74146	0	5.22947	12.6728	5.67097	1.4094	59.3848	21.5061	22.8966
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0	0	92.5615	0	20.2643	0	77.051	1.10362	0	5.26216	0	2.34721	14.1368	0	0	12.0356	0	0	0	1.86264	0	0
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	10.8877	1.92627	4.32403	19.5023	15.0087	18.3305	0.871719	0	0	0	0	0	12.8462	11.623	0	1.92456	0	13.3027	13.797	5.54177	28.0481	27.8725
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	74.0286	147.996	92.1442	171.793	98.435	130.54	103.897	140.553	92.7281	103.098	189.855	109.655	95.9747	174.005	68.5976	85.0772	111.734	169.929	107.149	118.8	140.745	147.687
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	101.231	176.486	33.1983	163.245	65.9346	113.799	43.7125	119.465	120.066	84.3357	165.457	50.0766	37.7907	165.408	83.2506	106.395	86.8934	163.199	93.3298	130.475	70.3214	77.1104
PWY-7199: pyrimidine deoxyribonucleosides salvage	298.248	213.845	231.813	195.638	211.294	266.879	239.97	241.863	268.632	233.509	238.237	274.065	259.287	227.483	261.139	245.031	254.541	184.824	275.881	193.418	369.275	360.556
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0	0	1.59849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	1.28815	0.568017	83.3112	5.09467	14.3279	0	73.3338	1.76811	0	14.5915	14.7753	0	56.1538	2.47794	2.40954	10.2552	1.84627	0.201092	1.18281	2.74168	0	0.927254
PWY-7208: superpathway of pyrimidine nucleobases salvage	107.652	198.368	127.677	244.205	149.443	174.094	142.981	195.156	131.41	152.789	241.507	151.828	135.147	243.818	115.375	124.167	159.241	245.963	152.451	163.619	202.794	211.28
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	0	41.2263	24.9983	43.761	6.17187	9.24799	19.8371	26.8315	0	0	0	1.44078	10.1712	39.4632	0	1.27906	0.986681	39.7045	10.3599	0	15.2291	18.3305
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	8.27627	13.0918	17.1563	1.71275	0	1.79549	15.518	12.3621	6.50503	1.52288	0	10.098	35.3211	7.74995	0	8.31273	19.2982	9.24034	2.32309	72.8493	31.4833	33.57
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	13.457	9.21099	75.5354	2.98571	52.4887	4.68739	84.7561	14.538	10.4054	16.4381	11.2758	17.6967	100.22	11.4035	3.92487	50.4199	32.011	13.3484	4.09676	47.6096	45.3971	50.313
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	90.2281	155.967	113.78	224.886	105.663	145.142	127.311	160.619	110.299	121.484	215.708	116.674	114.493	222.874	75.4876	97.5791	120.507	218.821	124.972	128.134	171.528	175.062
PWY-7221: guanosine ribonucleotides de novo biosynthesis	450.731	412.199	347.01	351.959	596.914	489.045	352.283	460.681	503.998	519.433	458.028	515.487	390.789	413.029	579.078	564.545	491.299	391.103	465.118	517.917	537.48	561.416
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	90.2281	155.967	113.78	224.886	105.663	145.142	127.311	160.619	110.299	121.484	215.708	116.674	114.493	222.874	75.4876	97.5791	120.507	218.821	124.972	128.134	171.528	175.062
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	151.431	231.295	173.152	285.537	181.969	225.464	189.423	241.757	182.195	197.918	296.171	191.14	179.469	298.784	134.046	167.516	194.795	289.231	198.103	208.042	261.864	268.393
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	233.093	327.023	268.512	387.506	265.441	322.738	282.698	332.348	273.694	286.44	374.599	278.02	273.12	392.876	216.79	264.392	284.818	396.339	289.822	306.02	373.926	379.998
PWY-7234: inosine-5'-phosphate biosynthesis III	44.1327	232.741	189.867	88.1093	54.1495	174.357	186.433	111.693	61.7264	37.6768	40.9359	30.3872	136.816	97.7578	52.2297	55.3613	46.7193	58.8578	109.887	65.3512	97.3204	104.564
PWY-7237: myo-, chiro- and scyllo-inositol degradation	380.699	100.39	217.798	149.59	420.178	179.755	169.307	126.149	369.513	179.997	167.262	261.7	245.084	178.384	179.49	169.309	228.62	141.089	201.983	162.271	230.694	232.629
PWY-7238: sucrose biosynthesis II	558.182	520.741	550.3	248.569	825.428	366.776	512.503	555.239	704.955	684.987	407.882	621.154	669.669	278.105	675.14	771.346	578.607	237.277	423.269	637.994	743.277	782.395
PWY-7242: D-fructuronate degradation	42.8272	34.1677	104.935	27.9585	44.3103	29.426	79.2807	53.7	57.9666	24.7659	37.4221	60.2016	136.84	18.6814	14.4171	31.4229	45.1586	16.9906	19.3176	21.2571	116.105	105.414
PWY-7245: superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229391	3.6622	0	0	0	1.84485	0	0
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	372.502	365.588	374.221	290.844	386.91	326.547	348.283	347.623	396.022	375.84	330.434	372.811	347.973	352.427	392.289	384.014	356.317	316.549	322.389	346.552	408.709	428.356
PWY-7254: TCA cycle VII (acetate-producers)	0	1.80074	62.6925	2.09276	26.0483	4.86924	27.3023	7.90397	0	0.530451	0	3.37417	109.171	11.1204	0.377007	0	9.83376	4.18316	0	13.0122	0	1.61872
PWY-7268: cytosolic NADPH production (yeast)	0	0	0	0	0	0	0	2.00537	0	0	0	1.35872	0	0	0.969125	4.27531	0	0	0	2.21819	0	0
PWY-7269: mitochondrial NADPH production (yeast)	0	0.859112	48.279	0	0	0	40.5712	1.34009	0	2.79213	0	0.90696	25.0634	0.704617	0.646634	5.08839	0.335288	0.294065	0	2.48582	0	0
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	0	0.410075	0	0	0	0	0	0	0	0.42457	0	0	0	0.166336	0	0	0	0.136979	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	203.55	189.728	236.998	136.649	59.243	181.145	198.303	147.894	175.922	168.586	74.541	166.508	223.461	164.285	179.781	127.651	143.938	142.374	211.395	118.274	248.098	226.716
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0	40.1647	6.2186	44.3386	0	28.6226	10.9798	18.9701	0	0	0	13.4772	6.48794	48.6677	0	0	23.5763	27.4014	12.0939	35.2093	0	0
PWY-7294: D-xylose degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16859	0	0	0.637293	0	0
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	3.85553	42.1633	1.21455	0	3.05929	0	1.47963	71.641	10.6712	0	0	0	4.20387	0	40.8945	0	0	0	0	0	69.0231	52.7226
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	5.71326	84.9013	110.093	92.1701	15.5382	3.00804	87.0089	52.0773	2.88138	105.353	68.1124	35.6074	65.1419	131.765	97.0789	49.9914	23.5653	55.4622	3.93106	18.0872	4.66596	4.04765
PWY-7316: dTDP-N-acetylviosamine biosynthesis	16.0201	0	2.34728	0	0	0	2.34922	0	2.56229	6.07215	0	24.2601	1.18353	0	2.23818	1.93822	19.0416	0.529723	0	5.53549	0	0
PWY-7317: superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	0	0	0.274331	0	0	0	0.49563	0	0.666781	0.8861	0	0	0.445169	0	0.935404	0.456052	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	78.4107	55.7616	207.566	56.1671	43.13	94.0604	187.431	89.3427	67.0911	98.507	22.2115	103.884	160.142	86.3288	92.2078	62.9268	97.9088	49.3985	77.6571	37.8139	142.627	152.693
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	186.309	200.878	233.318	125.355	132.804	135.081	236.028	142.906	191.669	125.084	148.384	130.387	225.14	145.316	154.452	189.444	135.915	113.445	139.623	162.791	100.043	105.221
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	2.03608	0	0	0	2.27059	5.30088	0	0	0	0	0.732143	6.06355	0	4.06987	0.618194	0	0	2.21491	0	0.994465
PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	0	0.819531	2.24596	0	0	0	1.27541	2.01272	0	3.80313	0	1.16163	2.04184	1.43634	1.66227	5.75944	1.62227	0.341707	0.807972	1.12292	0	0.167054
PWY-7345: superpathway of anaerobic sucrose degradation	188.897	181.849	348.393	88.14	79.3677	169.365	296.679	115.608	169.19	132.07	46.8529	118.392	237.685	105.829	133.841	150.899	136.578	73.4189	163.702	101.813	147.192	127.498
PWY-7356: thiamine diphosphate salvage IV (yeast)	29.873	95.8047	26.2052	17.0777	23.9653	43.782	20.2658	34.3941	34.3177	23.2004	8.98666	6.87759	39.783	10.3012	26.2459	18.6082	11.8413	18.4925	47.6565	10.9854	60.8402	47.5208
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	228.631	264.875	280.519	148.766	425.299	179.207	244.207	222.232	272.946	332.935	239.938	329.996	332.991	166.495	341.77	294.683	290.625	156.389	194.225	280.129	376.719	400.049
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	6.4521	3.51098	2.1411	8.74741	3.69677	7.49567	5.32915	5.31286	3.07371	0	0	1.86652	2.46593	12.851	0	0	2.17493	13.3879	1.9413	3.06282	0.446971	0.40489
PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I	0	2.27312	0	8.39392	0	2.13777	0	3.80361	0	0	0	0.877253	0	12.7089	0	0	1.57785	13.1955	0	1.72101	0	0.247036
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	101.314	111.807	79.9007	127.921	79.9626	187.2	71.473	142.601	72.7252	131.622	60.9859	146.619	94.4177	109.344	241.722	133.385	150.347	122.719	176.275	114.521	87.7194	81.248
PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	0	0	6.81675	0	1.84797	0	0	0	0	0.550523	0	0	12.1445	0.356733	0	0	0	0.178541	0	0	0	0
PWY-7385: 1,3-propanediol biosynthesis (engineered)	0	1.05485	162.867	0	26.1189	0	119.624	0.752214	0	11.4042	0	0	53.4662	1.62786	1.93146	19.1927	1.59195	0.497311	0	1.20725	0	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	16.1565	0	44.3363	0.975821	0	1.38129	28.615	2.16442	27.1113	8.4762	23.5003	10.0448	16.6285	2.65826	2.97365	13.1805	13.5334	0	0	24.7115	1.15377	1.66085
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	0	10.5165	0	2.96019	0	0	0	0	0.891152	0	0	18.2664	0.575631	0	0	0	0.286228	0	0	0	0
PWY-7391: isoprene biosynthesis II (engineered)	0	1.73029	0	0	0	5.59285	0	5.88843	0	0	0	0.552981	0	0	0	0	0	0	0.856432	3.36276	0	0
PWY-7392: taxadiene biosynthesis (engineered)	52.9876	31.7814	66.713	29.7219	37.2558	23.7511	50.5095	65.8748	91.9023	76.2205	35.6535	59.3654	96.2334	7.14892	31.3556	22.9237	50.4863	9.15686	29.5148	21.1423	137.963	156.607
PWY-7396: butanol and isobutanol biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	0	0	1.6678	0	0	0	0	0	0	5.26707	0	0
PWY-7399: methylphosphonate degradation II	0	0.878817	0	0	2.03573	0.424312	0	2.01256	0	3.40628	3.68276	0	0.283717	0.756068	0	4.19997	0.951505	0.195082	0	0.624987	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	314.028	280.263	346.455	244.291	310.735	335.423	338.273	303.149	308.213	347.381	266.75	319.164	371.459	292.989	397.062	387.617	297.578	264.465	319.475	309.809	348.466	347.045
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	0	0	0	0	0	0	0	0.432632	11.3387	0.467381	0	0	0.10863	0	0	0	0	0
PWY-7413: dTDP-6-deoxy-&alpha;-D-allose biosynthesis	0	9.98298	0.417393	0	0	0	0.557033	5.76322	0	0	0	0	0.222714	0	0	0	0	0	0	0	0	0
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	1.95862	0	0	0	0.863754	0	1.61098	0.4712	0	0	0	4.48671	0	0	0	0.369642	0	0.469525	0.983965	0	0.358217
PWY-7446: sulfoquinovose degradation I	0	0	0	0	7.15427	0	0	0	0	2.27592	0	0	0	0	0	1.53547	0	0	0	0	0	0
PWY-7456: &beta;-(1,4)-mannan degradation	71.108	51.6877	179.672	79.8149	33.4097	128.594	133.31	67.8946	54.7478	83.9481	17.6697	92.7786	146.759	126.72	91.6392	73.9792	85.7197	57.3064	94.9945	36.7976	109.05	93.5008
PWY-7560: methylerythritol phosphate pathway II	279.347	282.468	386.34	263.473	383.101	266.972	353.768	297.985	289.066	316.75	154.61	343.403	305.408	294.69	308.142	305.528	332.791	261.364	235.366	248.199	323.691	375.004
PWY-7616: methanol oxidation to carbon dioxide	0	0	8.16268	0	1.73298	0.192912	6.02773	0	0	3.13614	0	0	11.4009	0.758734	2.16777	3.21127	0.339938	0.23261	0	0.118793	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	235.876	142.668	343.386	151.476	44.9669	266.911	239.121	188.735	163.42	182.088	73.9282	186.381	224.518	180.465	252.353	100.895	142.906	169.913	243.269	68.3936	283.824	260.846
PWY-7664: oleate biosynthesis IV (anaerobic)	122.541	95.4942	244.554	6.95985	24.9386	133.76	194.697	81.2734	80.7972	81.558	35.6909	40.6884	187.881	9.01616	71.2636	87.3622	35.9299	6.75499	87.3212	30.4815	84.213	90.7298
PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	23.6416	3.7691	0.250188	7.85398	0	27.2794	0.740046	2.87276	5.1663	6.31157	0	18.7958	0.547552	2.65058	2.75515	4.27828	8.47487	1.56244	18.7425	5.40673	0.806572	0.339089
PWY-7723: bacterial bioluminescence	0	0	0.879052	0	0	0	0	0.492411	0	0	0	0	2.14961	0	0	0	0	0	0	0	0	0
PWY-7754: bile acid 7&alpha;-dehydroxylation	8.77153	4.49043	0.240897	7.01443	0	8.36602	1.00346	3.29121	8.77326	1.71509	3.84954	0	0.565166	9.52906	3.44755	2.87979	0	5.72694	14.6403	0	1.21589	0.540259
PWY-7761: NAD salvage pathway II (PNC IV cycle)	23.6141	146.119	208.168	147.986	120.047	164.252	210.667	93.1433	46.9613	49.7429	54.5625	107.666	160.146	175.153	41.2648	70.0208	122.162	137.311	112.431	130.9	47.9281	47.159
PWY-7783: plasmalogen degradation	0	0	0.711394	0	0	0	0.849393	0	0	0	0	0	0.925418	1.47212	0	0	0	0.317054	1.28645	0	0	0.116189
PWY-7784: reductive acetyl coenzyme A pathway II (autotrophic methanogens)	0	24.2515	0	18.2695	0	0	6.93438	35.719	0	0	0	0	2.63289	19.1106	0	0	0	10.4112	0	0	0	0
PWY-7790: UMP biosynthesis II	462.606	462.128	352.774	434.032	530.736	490.64	346.793	469.851	503.198	480.464	342.796	509.932	439.651	462.794	556.881	529.076	479.444	450.052	446.131	495.114	594.223	604.804
PWY-7791: UMP biosynthesis III	462.606	462.128	352.774	434.032	530.736	490.64	346.793	469.851	503.198	480.464	342.796	509.932	439.651	462.794	556.881	529.076	479.444	450.052	446.131	495.114	594.223	604.804
