	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-7805: (aminomethyl)phosphonate degradation	0	0.623657	5.78196	0	5.82733	0	2.37011	1.02119	0	4.06897	0	0	20.7379	0.768161	0	0.450608	0.808651	0.138688	0	0.6072	0	0
PWY-7807: glyphosate degradation III	0	0.602148	5.1512	0	5.36573	0	2.09538	0.980331	0	4.50702	0	0	19.3339	0.747641	0	0.407716	0.843727	0.199902	0	0.721966	0	0
PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)	0	0	1.86669	0	0	0	0	1.65256	0	0	0	0	2.20545	0	0	0	0	0	0	0	0	0.199895
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	304.48	316.885	281.457	263.588	460.374	360.003	283.804	341.561	352.381	387.984	299.934	377.154	334.245	334.57	394.258	390.891	332.273	317.329	346.148	303.92	477.092	483.423
PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771918	1.12768	0	0
PWY-7858: (5Z)-dodecenoate biosynthesis II	0	3.24816	124.041	0	13.5136	0	85.4504	3.65149	0	9.53289	0	1.94434	76.3509	1.4082	1.09869	14.1713	4.2983	0.177197	0.949269	7.92782	0	0.477299
PWY-7873: D-erythronate degradation II	0	0	6.69976	0	3.55639	0	1.06631	0	0	0.513803	0	0	11.3523	0	0	0	0	0	0	0	0	0
PWY-7874: L-threonate degradation	0	0	28.0726	0	5.97983	0	27.0044	0	0	2.05733	0	0	11.3523	0	0	2.38378	0.178694	0	0	0.247476	0	0
PWY-7883: anhydromuropeptides recycling II	1.14002	2.98619	30.1191	0	0	1.03509	20.9749	7.78017	2.19804	2.17167	0	3.18113	28.9528	0.654479	0.895314	5.7443	0.573759	0.254714	1.87777	2.18637	14.9026	11.716
PWY-7942: 5-oxo-L-proline metabolism	4.04639	1.87771	107.546	0	24.5404	0.902441	103.869	2.20607	1.95402	9.30745	0	1.07999	81.1637	1.90632	5.47816	33.7936	1.93273	0.709673	0	0	0	0.57439
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	405.918	364.993	403.614	327.853	492.5	402.864	403.873	413.736	427.676	445.454	334.935	443.817	410.975	405.621	492.064	479.193	427.418	392.248	398.23	434.34	486.033	508.777
PWY-7977: L-methionine biosynthesis IV	378.836	313.825	373.331	296.723	341.224	345.283	338.401	365.715	352.991	373.78	328.448	356.586	363.357	382.967	412.368	385.76	341.603	275.584	319.201	296.416	396.599	394.916
PWY-7992: superpathway of menaquinol-8 biosynthesis III	16.2489	8.88912	5.63641	21.2244	8.98156	18.9423	13.679	13.2883	7.80759	0	0	4.86096	6.42569	30.0704	0	0	5.62227	30.2037	5.09916	7.65578	1.18749	1.07574
PWY-8004: Entner-Doudoroff pathway I	131.764	136.307	179.398	125.841	54.278	105.689	137.026	127.317	151.504	81.9521	34.1996	90.4003	150.321	161.379	57.5388	85.0163	94.9257	132.044	116.114	75.4336	111.922	111.263
PWY-801: homocysteine and cysteine interconversion	0	0	53.0727	0	12.7636	0.579593	28.712	1.61474	7.4168	2.76874	0	0.299118	38.3354	1.15813	0.564946	2.41262	0.934613	0.507921	0	2.31646	0	0.343613
PWY-8073: lipid IVA biosynthesis (P. putida)	128.729	58.6956	227.706	78.0443	19.251	113.07	169.504	79.6502	50.2446	66.9318	20.3681	50.506	112.279	52.2752	70.4192	49.3766	37.2967	34.2338	119.507	25.9166	86.8956	58.1536
PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen	0	0.364122	13.6065	0	8.00652	0	15.2175	0	0	2.49502	0	0	11.5331	0.673238	0	0	0	0.150186	0	0	0	0
PWY-8112: factor 420 biosynthesis I (archaea)	0	33.2547	4.50369	34.5024	0	24.1033	7.60054	15.951	0	0	0	10.7099	4.47092	38.0677	0	0	18.8846	21.3776	11.4527	28.3459	0	0
PWY-8113: 3PG-factor 420 biosynthesis	0	32.481	4.24853	33.4966	0	23.9315	7.60054	15.951	0	0	0	10.6866	4.47092	38.0677	0	0	18.0981	21.0127	11.4527	28.3459	0	0
PWY-8125: mevalonate pathway IV (archaea)	0	2.23286	0	1.50766	0	8.28492	0	6.99204	0	0	0	2.17626	0	0	0	0	1.62605	0	2.10336	4.00604	0	0
PWY-8131: 5'-deoxyadenosine degradation II	64.7825	38.3081	12.4623	33.0927	49.8522	12.0281	22.6938	32.7839	88.0231	89.0857	197.549	38.2244	15.5072	50.4593	81.7389	99.8325	37.9667	33.0645	38.1785	30.3447	32.6344	38.0387
PWY-8134: bile acid 7&beta;-dehydroxylation	9.52295	4.38886	0.196697	7.73108	0	8.43381	1.1802	3.46479	9.13212	2.18716	4.13649	0	0.536936	9.37602	3.427	2.98518	0	6.02237	14.337	0	1.35686	0.48527
PWY-8173: anteiso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	4.01774	0	0	32.2668	0	0	0	0	0	0	0	0	0	0	0
PWY-8174: odd iso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	4.01774	0	0	32.2668	0	0	0	0	0	0	0	0	0	0	0
PWY-8175: even iso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	4.01774	0	0	32.2668	0	0	0	0	0	0	0	0	0	0	0
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	437.612	284.465	529.231	265.948	567.968	259.811	454.491	342.687	458.392	462.75	384.149	393.778	428.537	320.232	465.549	468.133	383.894	251.564	272.516	293.243	329.392	396.62
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	60.4723	181.534	208.031	192.12	279.374	177.715	158.043	148.754	66.5393	246.169	137.459	60.8224	143.515	244.57	257.99	278.761	81.5258	300.847	194.297	185.409	126.242	144.559
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	1.78737	0	0	0	0	1.44026	1.13891	0	3.0664	4.23256	0	1.19551	0.589883	0	4.48359	5.17321	0	1.74413	5.07026	1.36025	6.81871	3.72299
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	1.78737	0	0	0	0	1.44026	1.13891	0	3.0664	4.23256	0	1.19551	0.589883	0	4.48359	5.17321	0	1.74413	5.07026	1.36025	6.81871	3.72299
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	0	15.1272	0.14358	0	9.06959	0.276112	0	8.30905	0	0	0	0.797892	0	0.517603	0	0	0.594256	0	0	0	0	0
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	0	9.38016	163.891	34.3175	48.2096	55.4786	147.71	10.7403	0	19.6248	17.7838	8.87575	141.038	25.8475	3.04384	33.3587	20.5392	40.3291	51.9774	20.9609	0	2.33572
PWY-822: fructan biosynthesis	0	9.18301	0	0	0.867226	2.38217	7.81484	9.55369	17.5466	0.656678	0	4.83618	0	0	1.30087	0.122794	0.688929	0	6.12856	1.70037	0	0.133204
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	199.706	283.089	215.7	307.647	237.315	278.485	228.896	279.33	232.895	247.739	308.4	244.446	228.137	324.544	189.413	219.277	243.479	319.421	246.979	248.401	321.103	329.742
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	0	2.24317	0	0	0	7.56529	0	7.82556	3.14241	0	0	1.19726	0.510726	0.320512	0.792416	0	0	0	2.09441	6.19655	0	0.288646
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	185.89	96.7355	247.708	61.9838	130.306	52.8806	231.904	47.71	199.212	87.2534	88.84	133.947	224.389	50.5514	105.704	133.15	143.317	45.2126	51.6191	91.518	47.1666	73.5369
PWY0-1061: superpathway of L-alanine biosynthesis	52.0121	101.056	135.91	8.88979	288.6	10.7285	95.1755	34.581	66.0657	75.5828	69.0586	36.3178	109.198	20.2564	56.7613	29.6838	5.22217	4.54714	38.7646	14.1437	58.4498	90.6343
PWY0-1221: putrescine degradation II	0	0.357382	19.3514	0	2.56665	0	18.2425	0.333218	0	1.88037	0	0	18.8848	0.795407	0.16038	1.64653	0	0.296955	0	0.47913	0	0
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	15.8154	21.7563	110.292	19.4054	24.7568	47.6672	90.8178	26.5494	13.3061	41.1738	7.83634	28.5518	73.5796	31.2143	71.8403	54.241	32.4185	28.2689	41.1276	20.4582	25.9838	15.6582
PWY0-1261: anhydromuropeptides recycling I	133.931	56.9988	163.805	51.0308	74.6822	131.445	202.533	53.2315	58.584	81.7304	42.1693	40.4475	165.957	76.2664	85.95	124.942	41.6265	34.2334	133.122	60.7609	78.3255	49.505
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0	0.700734	139.317	0	13.4102	0	114.539	1.5532	0	12.0349	0	0	84.2017	3.41129	1.58883	16.4699	2.78042	1.67412	0	5.10015	0	0
PWY0-1296: purine ribonucleosides degradation	269.328	228.649	366.48	277.897	430.183	221.036	349.065	268.609	340.778	345.011	391.79	341.634	373.456	272.102	330.598	393.711	339.904	243.122	250.675	354.437	386.762	416.114
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	37.4193	67.7254	239.343	128.154	52.4909	56.78	227.108	44.8311	58.8391	63.2439	29.139	13.889	160.018	116.733	44.2719	115.279	21.7533	125.062	79.3407	29.6467	39.8322	47.2594
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	25.9037	58.1084	221.754	145.203	60.3007	39.9658	190.506	27.38	50.9662	56.0711	78.165	24.3718	127.367	83.662	71.7015	107.041	22.8359	100.381	37.681	27.869	16.2521	15.2459
PWY0-1319: CDP-diacylglycerol biosynthesis II	388.722	292.525	372.913	293.623	450.969	301.617	333.648	354.37	418.163	414.192	330.222	423.188	384.414	348.544	401.058	447.059	399.754	314.02	318.294	376.787	480.032	488.207
PWY0-1337: oleate &beta;-oxidation	0	0.767779	26.736	0	5.4469	0	25.911	0.577044	0	1.07037	0	1.72698	58.8612	1.03082	0	2.06315	2.02506	0.258529	0	0.478328	0	0
PWY0-1338: polymyxin resistance	0	0	81.7449	0	5.43889	0	63.8768	1.21033	0	4.91501	0	1.11481	54.6254	1.79999	0.494234	9.54188	1.91315	0	0	1.75779	0	0.128751
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	4.42195	10.6266	140.465	5.60478	20.7749	1.87422	99.3111	9.70462	3.13577	10.0494	19.4799	0	70.7391	12.8456	3.42391	18.7738	2.81721	1.90965	0	3.8659	0	0.438823
PWY0-1477: ethanolamine utilization	106.797	52.2545	385.363	144.021	64.7219	88.2149	310.282	40.8217	72.5854	79.1882	70.9117	61.9884	179.807	147.828	127.58	237.138	68.7436	182.748	90.4827	68.0601	46.0154	41.3367
PWY0-1479: tRNA processing	31.2338	49.1577	286.547	0.771824	77.6955	20.1339	252.626	81.4884	39.2203	13.8756	0	43.8064	177.457	6.51399	7.10885	34.8402	34.3664	17.9568	10.0352	24.647	52.2395	52.9035
PWY0-1533: methylphosphonate degradation I	0	0.380959	2.97313	0	3.25474	0	1.20248	0.59886	0	2.68034	0	0	12.0889	0.499304	0	0.233688	0.52791	0.128526	0	0.437252	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	477.33	319.064	884.117	270.253	498.049	324.546	734.477	333.146	326.268	486.391	166.839	324.154	614.741	287.526	520.451	455.445	307.701	272.757	387.638	269.15	423.975	399.06
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	157.734	199.271	179.932	158.307	144.469	220.38	185.115	124.84	167.984	106.965	62.2071	199.721	168.666	206.026	145.456	152.977	204.955	163.339	165.064	66.6583	145.535	140.38
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0	1.3127	137.08	1.26728	38.9871	2.65349	141.362	4.22601	0	9.95865	11.0118	10.486	83.0767	4.87806	2.20912	34.5884	4.15367	0.549554	0.852824	5.00865	0	0
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	0	3.19509	201.329	0	61.7444	2.22203	153.353	1.17059	1.49255	31.6686	12.4531	10.5629	101.982	5.06941	0.538131	20.7662	3.35403	0.459346	0	6.11184	0	0.296756
PWY0-41: allantoin degradation IV (anaerobic)	0	0	19.9557	0	5.1343	0	15.6346	0.130092	0	1.47341	0	0	13.1584	0.279332	0	2.71463	0.230496	0	0	0.213192	0	0
PWY0-42: 2-methylcitrate cycle I	0	0.255554	126.662	0	7.35675	0.525839	97.6715	1.83168	0	5.35619	0	0.43777	61.6395	1.59742	0.381338	13.2108	1.95803	0.378162	0	2.21866	0	0.101224
PWY0-461: L-lysine degradation I	0	0	27.4511	0.880036	4.66315	0	14.6237	1.12244	0	3.73459	0	0	15.4187	1.46003	0	3.52307	0	0	0	0	0	0
PWY0-781: aspartate superpathway	0	23.7897	179.395	0	48.3803	11.7729	163.192	17.6836	7.01714	21.9001	0	9.3654	130.368	7.92786	7.2646	38.8117	11.2684	2.85325	0	19.618	1.57402	8.9037
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	168.783	127.238	195.566	117.374	23.6748	168.386	170.479	158.163	111.645	151.156	34.6233	126.934	149.765	165.625	194.648	84.1952	115.735	118.984	182.541	62.0153	176.997	151.907
PWY0-862: (5Z)-dodecenoate biosynthesis I	112.931	89.8163	228.667	6.00038	23.1817	122.654	185.266	73.91	74.382	74.3311	32.8326	35.9328	181.151	7.78029	63.3949	84.9997	31.8776	5.8212	78.6011	27.8228	75.2173	81.6255
PWY1G-0: mycothiol biosynthesis	0	1.72479	0.563372	0	0	0	0	2.73821	0	0	0	0	0	0	0	0	0	0	5.17726	0.959166	0.891934	0.779337
PWY1ZNC-1: assimilatory sulfate reduction IV	0	6.36736	139.552	22.137	23.1179	87.2972	103.747	7.83156	0	35.9032	11.2393	50.9654	82.9544	10.6072	46.6414	36.0621	54.303	43.3293	55.5492	10.7721	10.9821	19.976
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	4.2778	152.855	160.964	19.9171	27.4875	27.9066	124.211	42.2436	35.7689	12.3684	0	1.05831	93.9709	8.48742	7.84556	20.4533	2.47757	10.7767	19.584	4.77718	10.1933	13.3154
PWY490-3: nitrate reduction VI (assimilatory)	0	0	0.14541	0	0	0	0	0	1.82671	0.528772	0	0	0.961384	0	0.790475	0	0	0	0	0	0.681355	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	200.083	136.991	301.789	71.9321	109.504	166.935	280.605	108.786	125.004	114.544	26.6312	76.713	266.118	93.1875	117.555	211.923	63.1355	62.3967	174.329	60.0184	159.227	117.641
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	200.083	136.991	301.789	71.9321	109.504	166.935	280.605	108.786	125.004	114.544	26.6312	76.713	266.118	93.1875	117.555	211.923	63.1355	62.3967	174.329	60.0184	159.225	117.641
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	23.8399	29.0995	218.257	85.9947	39.7417	45.97	204.83	23.2362	47.9069	52.7859	24.6696	9.47615	139.47	95.4031	37.9597	102.106	18.0989	84.1999	50.8105	23.4835	17.4058	13.7932
PWY66-367: ketogenesis	3.07301	1.4687	0.507949	1.1337	0	2.29432	1.19784	2.81725	2.34231	3.12904	0	0.582344	1.09549	3.34319	1.23891	7.77838	0	2.50059	1.12142	2.28557	0.409216	0.479103
PWY66-388: ceramide degradation by &alpha;-oxidation	2.6117	0	20.5219	1.687	0	3.45951	20.0384	1.49778	1.97648	0	0	0	7.43602	0	0	0	0	1.32909	0.820066	0	0	0
PWY66-389: phytol degradation	6.28111	12.9349	104.213	19.9509	0	3.50575	59.304	12.404	3.45546	7.71101	42.3451	3.11431	8.74434	20.1874	3.13777	10.4045	1.13301	4.00269	0.822362	7.73593	1.41188	1.17062
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	14.3611	6.44969	2.93924	8.71749	0	3.33651	1.65516	9.7185	6.8954	20.6226	8.54908	4.59504	2.6597	9.03529	23.1423	55.5502	6.80149	12.3351	15.9446	1.77138	10.5289	7.3676
PWY66-399: gluconeogenesis III	122.225	152.334	90.0025	126.496	65.6171	171.142	93.5783	156.06	108.865	122.981	41.5491	115.538	108.115	125.338	150.219	131.733	130.757	130.143	160.461	113.045	104.449	102.177
PWY66-409: superpathway of purine nucleotide salvage	80.8198	137.504	206.054	66.1704	109.094	101.812	209.407	100.935	116.539	104.535	67.1531	35.8424	156.339	97.4497	77.7096	101.237	40.4699	79.4756	148.974	70.128	94.0537	108.448
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	372.14	325.812	359.451	263.207	369.734	347.327	336.409	387.428	395.277	457.127	337.406	463.705	396.976	335.248	441.052	490.336	451.678	318.49	354.596	486.998	486.507	528.668
PWY66-430: myristate biosynthesis (mitochondria)	0	0	45.8016	0	0	0	29.6062	2.0791	0	8.46075	21.7642	0	17.2316	2.60009	0	13.2342	10.9043	0	0	15.6964	1.20693	1.73675
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	5.4885	138.989	170.385	26.1153	34.7654	35.7805	138.725	47.329	35.7861	15.3943	0	1.47444	103.791	11.592	10.0171	24.8868	3.433	14.5273	25.1787	6.56603	12.886	16.3311
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	328.726	237.404	310.789	180.38	377.542	301.679	292.814	261.701	314.539	343.726	183.642	285.284	263.756	203.769	365.75	368.863	265.49	196.268	294.54	208.852	312.347	333.437
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	151.61	100.19	198.072	104.959	22.5388	154.303	153.238	139.898	94.0464	123.129	27.5056	103.913	122.233	143.816	171.255	62.8384	91.4751	100.608	159.989	43.8796	161.008	131.48
REDCITCYC: TCA cycle VI (Helicobacter)	0	1.21652	61.5414	3.4238	21.8571	3.51787	61.8535	3.05438	0	7.08198	0	2.39849	80.6832	5.34464	2.34994	9.7728	6.07202	6.47084	0	10.3021	0	1.30181
RHAMCAT-PWY: L-rhamnose degradation I	203.657	77.8006	306.202	77.7264	124.887	149.939	235.273	102.291	181.82	159.813	133.162	140.014	211.893	75.9448	115.692	198.424	112.446	67.8522	150.576	129.834	200.202	196.692
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	202.885	180.028	291.794	253.646	423.922	200.052	249.994	206.281	247.49	256.967	322.15	329.502	255.653	258.691	231.519	209.389	291.165	232.472	183.546	191.779	335.835	348.821
RUMP-PWY: formaldehyde oxidation I	1.3248	72.6817	9.56127	8.20866	5.90835	32.5678	18.3344	37.7518	0	64.6306	56.4318	64.8201	15.4445	5.64846	60.2754	55.8132	71.9874	4.77368	22.0436	33.9834	10.5162	22.8368
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	27.429	8.2404	468.067	12.4958	112.753	49.4111	381.903	15.9587	24.8844	60.2231	19.5937	93.8447	281.728	13.2739	59.2083	87.0664	98.7667	14.8418	45.0633	27.7817	60.9181	70.2553
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	297.428	300.346	308.592	268.357	376.811	310.163	309.679	314.105	260.705	311.284	183.15	276.075	299.112	292.329	368.307	313.603	270.784	273.752	307.812	260.864	320.283	315.802
SO4ASSIM-PWY: assimilatory sulfate reduction I	3.39657	6.36736	318.762	22.137	65.1436	87.2972	264.262	7.83156	3.32796	29.6726	11.2393	6.12524	195.444	29.6382	10.6719	43.6625	13.351	43.3293	55.5492	15.4034	0.279849	2.27106
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	7.54807	13.9416	331.628	42.736	120.874	136.413	303.792	17.0639	7.37746	59.9135	23.3932	13.3538	238.096	56.9705	23.1493	84.8414	27.8612	74.1499	96.76	31.8348	0.628904	5.06528
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	0	0	151.166	0	28.331	3.70077	143.549	5.76416	0	20.0791	0	2.61775	127.691	8.11029	3.85488	34.288	9.59977	2.07659	0	11.8549	0	0.375239
TCA: TCA cycle I (prokaryotic)	0	2.87307	137.403	3.30335	37.0252	7.75104	136.709	13.5665	2.87793	29.0028	0	5.42286	124.891	17.0706	7.1976	45.3469	16.2425	6.58688	0	22.8677	0	2.75891
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	208.329	192.586	416.516	168.039	103.296	266.183	335.984	191.43	158.983	199.909	128.704	209.569	250.215	180.202	235.125	208.183	193.587	172.393	251.046	137.225	292.115	288.398
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	210.073	185.58	191.608	127.745	320.503	161.126	153.483	126.764	240.784	162.348	178.188	179.781	258.681	138.661	157.014	142.144	142.317	122.488	192.702	126.555	321.901	310.263
THREOCAT-PWY: superpathway of L-threonine metabolism	0	5.65629	84.5735	5.99524	8.24785	0	80.335	3.89996	0	8.97629	0	0	48.1474	2.54631	1.83904	19.8108	0	1.30578	0	1.19375	0	0
THRESYN-PWY: superpathway of L-threonine biosynthesis	311.316	305.454	387.14	213.295	359.747	211.442	340.894	297.066	313.343	330.608	294.505	261.202	322.814	224.662	335.428	331.558	239.815	214.798	228.052	256.105	373.511	393.669
TRNA-CHARGING-PWY: tRNA charging	387.82	423.413	422.214	377.28	487.97	457.452	420.464	421.129	419.459	418.085	353.998	466.844	425.099	406.266	467.638	469.46	462.875	412.39	432.454	520.765	490.655	506.037
TRPSYN-PWY: L-tryptophan biosynthesis	302.933	320.833	254.252	172.098	395.454	169.114	260.063	297.535	341.235	363.344	238.793	337.026	300.711	228.403	323.13	327.935	307.199	164.4	191.786	280.059	345.083	387.158
TYRFUMCAT-PWY: L-tyrosine degradation I	0	0	0	0	0	0	0	1.37115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	14.0131	0.338284	0	0	0.210429	0	0	0	0	0
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	0	0	0	0.509034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.863544	0	0	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	145.752	278.898	350.332	182.296	242.869	184.448	338.855	202.054	208.921	182.832	265.589	134.205	266.497	230.968	210.856	240.549	162.222	234.154	179.342	277.42	126.793	123.545
URDEGR-PWY: superpathway of allantoin degradation in plants	0	0	10.1545	0	0	0	5.3107	0	0	0	0	0	9.59157	0.166482	0	0.592323	0.186961	0	0	0	0	0
URSIN-PWY: ureide biosynthesis	0	0	0	0	0	0	0	3.4964	0	0.749672	0	0	0.250077	0	0	0	0	0	0	0.88509	0	0
VALSYN-PWY: L-valine biosynthesis	485.666	505.169	543.127	405.176	564.354	445.425	468.581	427.105	498.439	462.911	394.744	515.995	502.923	453.71	493.607	479.9	491.952	431.152	434.456	557.137	547.006	564.415
